"Page","Type","Result","Detail","Screenshot"
"Dashboard","HVAC_Pro_Desktop.UI.DashboardForm","PASS","Constructed, handle created, layout pumped.","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\Dashboard.png"
"Clients","HVAC_Pro_Desktop.UI.ClientManagementForm","PASS","Constructed, handle created, layout pumped.","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\Clients.png"
"Contracts","HVAC_Pro_Desktop.UI.ContractManagementForm","PASS","Constructed, handle created, layout pumped.","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\Contracts.png"
"Invoices","HVAC_Pro_Desktop.UI.InvoiceForm","PASS","Constructed, handle created, layout pumped.","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\Invoices.png"
"Payments","HVAC_Pro_Desktop.UI.PaymentForm","PASS","Constructed, handle created, layout pumped.","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\Payments.png"
"Quotations","HVAC_Pro_Desktop.UI.TenderBidForm","PASS","Constructed, handle created, layout pumped.","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\Quotations.png"
"Reports","HVAC_Pro_Desktop.UI.ReportForm","PASS","Constructed, handle created, layout pumped.","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\Reports.png"
"Settings","HVAC_Pro_Desktop.UI.SettingsForm","PASS","Constructed, handle created, layout pumped.","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\Settings.png"
"Vendors","HVAC_Pro_Desktop.UI.VendorForm","PASS","Constructed, handle created, layout pumped.","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\Vendors.png"
"Purchases","HVAC_Pro_Desktop.UI.PurchaseForm","PASS","Constructed, handle created, layout pumped.","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\Purchases.png"
"Inventory","HVAC_Pro_Desktop.UI.InventoryForm","PASS","Constructed, handle created, layout pumped.","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\Inventory.png"
"Employees","HVAC_Pro_Desktop.UI.EmployeeForm","PASS","Constructed, handle created, layout pumped.","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\Employees.png"
"Payroll","HVAC_Pro_Desktop.UI.PayrollForm","PASS","Constructed, handle created, layout pumped.","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\Payroll.png"
"GeoIntelligence","HVAC_Pro_Desktop.UI.GeoIntelligenceForm","PASS","Constructed, handle created, layout pumped.","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\GeoIntelligence.png"
"Jobs","HVAC_Pro_Desktop.UI.JobManagementForm","PASS","Constructed, handle created, layout pumped.","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\Jobs.png"
"ServiceDesk","HVAC_Pro_Desktop.UI.ServiceDeskForm","PASS","Constructed, handle created, layout pumped.","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\ServiceDesk.png"
"MasterData","HVAC_Pro_Desktop.UI.MasterDataForm","PASS","Constructed, handle created, layout pumped.","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\MasterData.png"
"WhatsAppHub","HVAC_Pro_Desktop.UI.WhatsAppHubForm","PASS","Constructed, handle created, layout pumped.","C:\HVAC_PRO_MSE\Docs\UI_QA_Screenshots\app_regression_20260517_193710\WhatsAppHub.png"
